GSMM,DA_final_score
GSMM_299,NA
GSMM_300,NTC
GSMM_301,NTC
GSMM_302,NA
GSMM_303,NTC
GSMM_304,NA
GSMM_305,NA
GSMM_306,NTC
GSMM_307,NA
GSMM_308,NA
GSMM_309,NA
GSMM_310,NTC
GSMM_311,NTC
GSMM_312,NA
GSMM_313,NA
GSMM_314,BjSA
GSMM_315,NTC
GSMM_316,NA
GSMM_317,NA
GSMM_318,BjSA
GSMM_319,NA
GSMM_320,NA
GSMM_321,NA
GSMM_322,NTC
GSMM_323,NA
GSMM_324,NA
GSMM_325,NA
GSMM_326,NA
GSMM_327,NA
GSMM_328,NA
GSMM_329,NTC
GSMM_330,NA
GSMM_331,NA
GSMM_332,BjSA
GSMM_333,NTC
GSMM_334,NTC
GSMM_335,NA
GSMM_336,NTC
GSMM_337,NTC
GSMM_338,NA
GSMM_339,NA
GSMM_340,NTC
GSMM_341,NA
GSMM_342,NA
GSMM_343,NA
GSMM_344,NA
GSMM_345,NA
GSMM_346,NTC
GSMM_347,NA
GSMM_348,NA
GSMM_349,BjSA
GSMM_350,NTC
GSMM_351,NA
GSMM_352,NA
GSMM_353,NA
GSMM_354,BjSA
GSMM_355,NA
GSMM_356,NA
GSMM_357,NA
GSMM_358,NA
GSMM_359,NA
GSMM_360,NA
GSMM_361,BjSA
GSMM_362,NTC
GSMM_363,NA
GSMM_364,NA
GSMM_365,NTC
GSMM_366,NTC
GSMM_367,NA
GSMM_368,NA
GSMM_369,NA
GSMM_370,NA
GSMM_371,NA
GSMM_372,NA
GSMM_373,NA
GSMM_374,NTC
GSMM_375,NA
GSMM_376,NA
GSMM_377,NA
GSMM_378,NTC
GSMM_379,BjSA
GSMM_380,NA
GSMM_381,NTC
GSMM_382,NA
GSMM_383,NTC
GSMM_384,NTC
GSMM_385,NA
GSMM_386,NA
GSMM_387,NA
GSMM_388,NTC
GSMM_389,NA
GSMM_390,BjSA
GSMM_391,NA
GSMM_392,NA
GSMM_393,NTC
GSMM_394,NTC
GSMM_395,NA
